Cidade,Uf,mes/ano,pedidos
SAO PAULO,SP,01/06/2022,1.801.291
RIO DE JANEIRO,RJ,01/06/2022,1.579.359
SALVADOR,BA,01/06/2022,342.563
BRASILIA,DF,01/06/2022,1.305.636
FORTALEZA,CE,01/06/2022,266.549
BELO HORIZONTE,MG,01/06/2022,696.533
MANAUS,AM,01/06/2022,309.211
CURITIBA,PR,01/06/2022,1.158.698
RECIFE,PE,01/06/2022,164.364
BELEM,PA,01/06/2022,194.321
PORTO ALEGRE,RS,01/06/2022,537.036
GOIANIA,GO,01/06/2022,668.071
GUARULHOS,SP,01/06/2022,123.561
CAMPINAS,SP,01/06/2022,375.051
SAO LUIS,MA,01/06/2022,159.763
SAO GONCALO,RJ,01/06/2022,177.721
MACEIO,AL,01/06/2022,109.127
DUQUE DE CAXIAS,RJ,01/06/2022,73.174
NATAL,RN,01/06/2022,264.611
TERESINA,PI,01/06/2022,241.981
NOVA IGUACU,RJ,01/06/2022,36.390
CAMPO GRANDE,MS,01/06/2022,193.509
JOAO PESSOA,PB,01/06/2022,321.464
SAO BERNARDO DO CAMPO,SP,01/06/2022,361.910
OSASCO,SP,01/06/2022,92.272
SANTO ANDRE,SP,01/06/2022,208.472
JABOATAO DOS GUARARAPES,PE,01/06/2022,67.838
SAO JOSE DOS CAMPOS,SP,01/06/2022,336.373
CONTAGEM,MG,01/06/2022,51.756
RIBEIRAO PRETO,SP,01/06/2022,230.926
UBERLANDIA,MG,01/06/2022,284.965
SOROCABA,SP,01/06/2022,369.311
ARACAJU,SE,01/06/2022,72.100
CUIABA,MT,01/06/2022,127.866
FEIRA DE SANTANA,BA,01/06/2022,71.216
JUIZ DE FORA,MG,01/06/2022,242.187
JOINVILLE,SC,01/06/2022,53.501
LONDRINA,PR,01/06/2022,217.016
BELFORD ROXO,RJ,01/06/2022,33.029
ANANINDEUA,PA,01/06/2022,73.434
SAO JOAO DE MERITI,RJ,01/06/2022,16.871
APARECIDA DE GOIANIA,GO,01/06/2022,47.528
NITEROI,RJ,01/06/2022,308.549
CAMPOS DOS GOYTACAZES,RJ,01/06/2022,142.199
CAXIAS DO SUL,RS,01/06/2022,32.429
MAUA,SP,01/06/2022,66.736
FLORIANOPOLIS,SC,01/06/2022,350.964
VILA VELHA,ES,01/06/2022,234.114
SANTOS,SP,01/06/2022,62.667
SAO JOSE DO RIO PRETO,SP,01/06/2022,113.387
PORTO VELHO,RO,01/06/2022,92.826
SERRA,ES,01/06/2022,130.514
DIADEMA,SP,01/06/2022,31.637
OLINDA,PE,01/06/2022,35.891
MACAPA,AP,01/06/2022,36.800
BETIM,MG,01/06/2022,121.188
CAMPINA GRANDE,PB,01/06/2022,49.997
MOGI DAS CRUZES,SP,01/06/2022,88.025
CARAPICUIBA,SP,01/06/2022,113.037
PIRACICABA,SP,01/06/2022,205.748
MONTES CLAROS,MG,01/06/2022,32.470
JUNDIAI,SP,01/06/2022,135.844
MARINGA,PR,01/06/2022,258.760
CARIACICA,ES,01/06/2022,58.048
BAURU,SP,01/06/2022,44.041
ANAPOLIS,GO,01/06/2022,59.126
RIO BRANCO,AC,01/06/2022,71.995
CANOAS,RS,01/06/2022,141.682
SAO VICENTE,SP,01/06/2022,16.946
VITORIA,ES,01/06/2022,139.424
PELOTAS,RS,01/06/2022,78.571
FRANCA,SP,01/06/2022,139.597
ITAQUAQUECETUBA,SP,01/06/2022,12.141
BLUMENAU,SC,01/06/2022,73.106
PONTA GROSSA,PR,01/06/2022,79.940
CARUARU,PE,01/06/2022,106.669
CAUCAIA,CE,01/06/2022,6.937
RIBEIRAO DAS NEVES,MG,01/06/2022,20.213
VITORIA DA CONQUISTA,BA,01/06/2022,59.849
PAULISTA,PE,01/06/2022,52.660
PETROPOLIS,RJ,01/06/2022,19.965
GUARUJA,SP,01/06/2022,32.735
UBERABA,MG,01/06/2022,113.662
PETROLINA,PE,01/06/2022,54.413
BOA VISTA,RR,01/06/2022,15.478
TAUBATE,SP,01/06/2022,68.662
CASCAVEL,PR,01/06/2022,104.832
SANTAREM,PA,01/06/2022,43.546
LIMEIRA,SP,01/06/2022,41.979
SUZANO,SP,01/06/2022,42.628
SAO JOSE DOS PINHAIS,PR,01/06/2022,84.056
PRAIA GRANDE,SP,01/06/2022,148.049
GOVERNADOR VALADARES,MG,01/06/2022,26.071
VOLTA REDONDA,RJ,01/06/2022,41.854
GRAVATAI,RS,01/06/2022,51.679
MOSSORO,RN,01/06/2022,60.689
SANTA MARIA,RS,01/06/2022,13.730
FOZ DO IGUACU,PR,01/06/2022,59.754
VARZEA GRANDE,MT,01/06/2022,28.031
NOVO HAMBURGO,RS,01/06/2022,102.458
IMPERATRIZ,MA,01/06/2022,9.201
JUAZEIRO DO NORTE,CE,01/06/2022,43.296
SUMARE,SP,01/06/2022,69.221
BARUERI,SP,01/06/2022,198.434
IPATINGA,MG,01/06/2022,21.811
CAMACARI,BA,01/06/2022,23.026
VIAMAO,RS,01/06/2022,20.103
EMBU DAS ARTES,SP,01/06/2022,39.769
ITABORAI,RJ,01/06/2022,5.912
TABOAO DA SERRA,SP,01/06/2022,37.493
MAGE,RJ,01/06/2022,12.641
MARABA,PA,01/06/2022,25.685
PALMAS,TO,01/06/2022,13.552
SAO CARLOS,SP,01/06/2022,87.592
COLOMBO,PR,01/06/2022,38.465
ARAPIRACA,AL,01/06/2022,53.633
MARILIA,SP,01/06/2022,30.923
SETE LAGOAS,MG,01/06/2022,36.114
SAO LEOPOLDO,RS,01/06/2022,56.620
DIVINOPOLIS,MG,01/06/2022,82.420
MARACANAU,CE,01/06/2022,6.403
AMERICANA,SP,01/06/2022,63.029
JACAREI,SP,01/06/2022,59.930
ITAPEVI,SP,01/06/2022,51.599
PARNAMIRIM,RN,01/06/2022,20.769
PRESIDENTE PRUDENTE,SP,01/06/2022,70.842
ARARAQUARA,SP,01/06/2022,85.252
MACAE,RJ,01/06/2022,82.650
ITABUNA,BA,01/06/2022,6.100
SAO JOSE,SC,01/06/2022,78.283
SANTA LUZIA,MG,01/06/2022,19.541
INDAIATUBA,SP,01/06/2022,130.878
ALVORADA,RS,01/06/2022,7.833
COTIA,SP,01/06/2022,48.206
JUAZEIRO,BA,01/06/2022,12.457
HORTOLANDIA,SP,01/06/2022,83.190
RIO GRANDE,RS,01/06/2022,13.102
DOURADOS,MS,01/06/2022,34.515
CRICIUMA,SC,01/06/2022,40.225
RONDONOPOLIS,MT,01/06/2022,36.091
CACHOEIRO DE ITAPEMIRIM,ES,01/06/2022,10.135
CABO FRIO,RJ,01/06/2022,30.556
RIO CLARO,SP,01/06/2022,60.586
SOBRAL,CE,01/06/2022,21.809
SANTA BARBARA DOESTE,SP,01/06/2022,16.024
PASSO FUNDO,RS,01/06/2022,36.963
ARACATUBA,SP,01/06/2022,70.152
CHAPECO,SC,01/06/2022,30.034
ITAJAI,SC,01/06/2022,25.900
ILHEUS,BA,01/06/2022,8.238
CABO DE SANTO AGOSTINHO,PE,01/06/2022,12.308
MESQUITA,RJ,01/06/2022,38.424
FERRAZ DE VASCONCELOS,SP,01/06/2022,10.792
NOVA FRIBURGO,RJ,01/06/2022,15.694
BARRA MANSA,RJ,01/06/2022,24.544
LAURO DE FREITAS,BA,01/06/2022,53.161
CASTANHAL,PA,01/06/2022,4.453
RIO VERDE,GO,01/06/2022,14.905
IBIRITE,MG,01/06/2022,18.252
ANGRA DOS REIS,RJ,01/06/2022,16.992
LUZIANIA,GO,01/06/2022,4.060
GUARAPUAVA,PR,01/06/2022,12.045
FRANCISCO MORATO,SP,01/06/2022,23.966
NOSSA SENHORA DO SOCORRO,SE,01/06/2022,30.782
AGUAS LINDAS DE GOIAS,GO,01/06/2022,3.286
CAMARAGIBE,PE,01/06/2022,6.712
TERESOPOLIS,RJ,01/06/2022,45.289
LAGES,SC,01/06/2022,17.912
ITU,SP,01/06/2022,15.730
PARAUAPEBAS,PA,01/06/2022,14.824
POCOS DE CALDAS,MG,01/06/2022,44.536
TIMON,MA,01/06/2022,7.206
NILOPOLIS,RJ,01/06/2022,11.254
JEQUIE,BA,01/06/2022,7.822
CAXIAS,MA,01/06/2022,6.218
SAO JOSE DE RIBAMAR,MA,01/06/2022,17.156
PINDAMONHANGABA,SP,01/06/2022,6.742
BRAGANCA PAULISTA,SP,01/06/2022,35.343
PARNAIBA,PI,01/06/2022,3.586
SAO CAETANO DO SUL,SP,01/06/2022,141.610
QUEIMADOS,RJ,01/06/2022,3.933
ITAPETININGA,SP,01/06/2022,17.826
PARANAGUA,PR,01/06/2022,20.465
JARAGUA DO SUL,SC,01/06/2022,40.270
LINHARES,ES,01/06/2022,5.637
PALHOCA,SC,01/06/2022,45.851
TEIXEIRA DE FREITAS,BA,01/06/2022,20.306
VALPARAISO DE GOIAS,GO,01/06/2022,29.206
PATOS DE MINAS,MG,01/06/2022,13.156
ALAGOINHAS,BA,01/06/2022,2.269
MOGI GUACU,SP,01/06/2022,33.723
ITAPECERICA DA SERRA,SP,01/06/2022,23.590
ABAETETUBA,PA,01/06/2022,719
ARAGUAINA,TO,01/06/2022,5.204
TEOFILO OTONI,MG,01/06/2022,7.765
SAPUCAIA DO SUL,RS,01/06/2022,30.066
JAU,SP,01/06/2022,12.618
BARREIRAS,BA,01/06/2022,7.171
POUSO ALEGRE,MG,01/06/2022,31.575
VITORIA DE SANTO ANTAO,PE,01/06/2022,14.052
MARICA,RJ,01/06/2022,11.471
BOTUCATU,SP,01/06/2022,25.553
BARBACENA,MG,01/06/2022,5.053
GARANHUNS,PE,01/06/2022,33.730
ATIBAIA,SP,01/06/2022,20.930
PORTO SEGURO,BA,01/06/2022,7.493
VARGINHA,MG,01/06/2022,28.578
URUGUAIANA,RS,01/06/2022,7.372
APUCARANA,PR,01/06/2022,7.078
CUBATAO,SP,01/06/2022,6.342
SANTA RITA,PB,01/06/2022,4.778
RESENDE,RJ,01/06/2022,30.837
ARAUCARIA,PR,01/06/2022,10.294
ARARAS,SP,01/06/2022,17.769
CRATO,CE,01/06/2022,16.970
PINHAIS,PR,01/06/2022,45.114
CACHOEIRINHA,RS,01/06/2022,9.638
SABARA,MG,01/06/2022,5.253
SANTA CRUZ DO SUL,RS,01/06/2022,10.203
CONSELHEIRO LAFAIETE,MG,01/06/2022,12.568
SIMOES FILHO,BA,01/06/2022,1.531
CAMETA,PA,01/06/2022,1.429
BAGE,RS,01/06/2022,7.643
TOLEDO,PR,01/06/2022,39.855
FRANCO DA ROCHA,SP,01/06/2022,8.837
CATANDUVA,SP,01/06/2022,18.486
VARZEA PAULISTA,SP,01/06/2022,28.403
SANTANA DE PARNAIBA,SP,01/06/2022,90.254
GUARATINGUETA,SP,01/06/2022,11.313
ITAPIPOCA,CE,01/06/2022,2.064
BARRETOS,SP,01/06/2022,29.172
MARITUBA,PA,01/06/2022,3.282
SERTAOZINHO,SP,01/06/2022,7.074
BAYEUX,PB,01/06/2022,2.821
SINOP,MT,01/06/2022,49.385
VOTORANTIM,SP,01/06/2022,39.258
CODO,MA,01/06/2022,288
ITAGUAI,RJ,01/06/2022,7.454
JI PARANA,RO,01/06/2022,7.849
MARANGUAPE,CE,01/06/2022,1.950
ITABIRA,MG,01/06/2022,4.198
BIRIGUI,SP,01/06/2022,11.938
ARARUAMA,RJ,01/06/2022,14.015
BRAGANCA,PA,01/06/2022,1.454
CAMPO LARGO,PR,01/06/2022,7.817
PACO DO LUMIAR,MA,01/06/2022,2.983
ARAGUARI,MG,01/06/2022,16.518
SALTO,SP,01/06/2022,34.289
VESPASIANO,MG,01/06/2022,2.538
SAO MATEUS,ES,01/06/2022,6.278
PASSOS,MG,01/06/2022,17.261
VALINHOS,SP,01/06/2022,64.295
TATUI,SP,01/06/2022,8.439
ALMIRANTE TAMANDARE,PR,01/06/2022,7.182
RIO DAS OSTRAS,RJ,01/06/2022,40.001
CORONEL FABRICIANO,MG,01/06/2022,25.046
BRUSQUE,SC,01/06/2022,3.790
COLATINA,ES,01/06/2022,3.292
BENTO GONCALVES,RS,01/06/2022,27.734
TRINDADE,GO,01/06/2022,13.374
RIBEIRAO PIRES,SP,01/06/2022,6.612
ARAPONGAS,PR,01/06/2022,15.140
PAULO AFONSO,BA,01/06/2022,3.137
POA,SP,01/06/2022,33.213
GUARAPARI,ES,01/06/2022,7.120
CARAGUATATUBA,SP,01/06/2022,14.076
OURINHOS,SP,01/06/2022,17.900
BALNEARIO CAMBORIU,SC,01/06/2022,125.058
SANTANA,AP,01/06/2022,872
ITATIBA,SP,01/06/2022,15.239
BARCARENA,PA,01/06/2022,2.585
UMUARAMA,PR,01/06/2022,15.494
PATOS,PB,01/06/2022,2.813
MURIAE,MG,01/06/2022,12.148
IGARASSU,PE,01/06/2022,3.802
UBA,MG,01/06/2022,22.512
NOVO GAMA,GO,01/06/2022,581
ACAILANDIA,MA,01/06/2022,1.382
TRES LAGOAS,MS,01/06/2022,9.221
EUNAPOLIS,BA,01/06/2022,9.226
FORMOSA,GO,01/06/2022,4.768
CORUMBA,MS,01/06/2022,6.973
SAO LOURENCO DA MATA,PE,01/06/2022,4.107
JAPERI,RJ,01/06/2022,4.446
TUBARAO,SC,01/06/2022,7.127
CAMBE,PR,01/06/2022,19.973
ABREU E LIMA,PE,01/06/2022,4.048
GUAIBA,RS,01/06/2022,7.239
BACABAL,MA,01/06/2022,934
ERECHIM,RS,01/06/2022,3.254
PARINTINS,AM,01/06/2022,370
ITUIUTABA,MG,01/06/2022,15.317
JANDIRA,SP,01/06/2022,8.618
ASSIS,SP,01/06/2022,20.632
TUCURUI,PA,01/06/2022,816
CAIEIRAS,SP,01/06/2022,34.969
ARAXA,MG,01/06/2022,7.404
LAVRAS,MG,01/06/2022,3.042
BARRA DO PIRAI,RJ,01/06/2022,1.288
IGUATU,CE,01/06/2022,7.953
SANTA CRUZ DO CAPIBARIBE,PE,01/06/2022,842
ITAPERUNA,RJ,01/06/2022,9.139
ALTAMIRA,PA,01/06/2022,2.672
LEME,SP,01/06/2022,16.201
LAGARTO,SE,01/06/2022,408
ITUMBIARA,GO,01/06/2022,6.572
PARAGOMINAS,PA,01/06/2022,3.370
SANTO ANTONIO DE JESUS,BA,01/06/2022,4.725
ITAJUBA,MG,01/06/2022,6.266
ITAITUBA,PA,01/06/2022,378
PIRAQUARA,PR,01/06/2022,10.678
ITANHAEM,SP,01/06/2022,18.118
SAO GONCALO DO AMARANTE,RN,01/06/2022,2.777
ITAPEVA,SP,01/06/2022,9.887
CAMPO MOURAO,PR,01/06/2022,16.660
SARANDI,PR,01/06/2022,33.658
SAO PEDRO DA ALDEIA,RJ,01/06/2022,3.805
SENADOR CANEDO,GO,01/06/2022,7.234
ITABAIANA,SE,01/06/2022,388
ITAUNA,MG,01/06/2022,13.801
CATALAO,GO,01/06/2022,5.863
ARIQUEMES,RO,01/06/2022,4.952
VOTUPORANGA,SP,01/06/2022,14.417
CACAPAVA,SP,01/06/2022,10.685
JATAI,GO,01/06/2022,5.027
VALENCA,BA,01/06/2022,414
MOGI MIRIM,SP,01/06/2022,18.922
SAO JOAO DA BOA VISTA,SP,01/06/2022,33.538
PAULINIA,SP,01/06/2022,13.813
SAO JOAO DEL REI,MG,01/06/2022,2.971
ITACOATIARA,AM,01/06/2022,98
LORENA,SP,01/06/2022,20.488
ESTEIO,RS,01/06/2022,6.462
TIMOTEO,MG,01/06/2022,8.284
FAZENDA RIO GRANDE,PR,01/06/2022,23.216
PARA DE MINAS,MG,01/06/2022,10.830
MAIRIPORA,SP,01/06/2022,2.911
CANDEIAS,BA,01/06/2022,527
BREVES,PA,01/06/2022,575
TANGARA DA SERRA,MT,01/06/2022,8.561
PARANAVAI,PR,01/06/2022,4.352
CARATINGA,MG,01/06/2022,9.506
AVARE,SP,01/06/2022,19.442
CACERES,MT,01/06/2022,1.955
PARACATU,MG,01/06/2022,2.769
SANTANA DO LIVRAMENTO,RS,01/06/2022,1.213
NOVA LIMA,MG,01/06/2022,17.012
CACHOEIRA DO SUL,RS,01/06/2022,381
UBATUBA,SP,01/06/2022,7.992
SAO ROQUE,SP,01/06/2022,12.359
ARACRUZ,ES,01/06/2022,4.626
SAO CRISTOVAO,SE,01/06/2022,2.320
PATROCINIO,MG,01/06/2022,5.111
IPOJUCA,PE,01/06/2022,4.331
SEROPEDICA,RJ,01/06/2022,5.313
PLANALTINA,GO,01/06/2022,870
CRUZEIRO,SP,01/06/2022,3.584
IJUI,RS,01/06/2022,3.346
TRES RIOS,RJ,01/06/2022,3.400
BARRA DO CORDA,MA,01/06/2022,84
MANHUACU,MG,01/06/2022,5.754
MATAO,SP,01/06/2022,8.810
ARUJA,SP,01/06/2022,28.509
SERRA TALHADA,PE,01/06/2022,445
GURUPI,TO,01/06/2022,1.116
ARARIPINA,PE,01/06/2022,1.796
FRANCISCO BELTRAO,PR,01/06/2022,3.652
QUIXADA,CE,01/06/2022,4.998
GUANAMBI,BA,01/06/2022,7.449
SAPIRANGA,RS,01/06/2022,9.965
SANTO ANGELO,RS,01/06/2022,4.778
JACOBINA,BA,01/06/2022,549
PINHEIRO,MA,01/06/2022,30
CARPINA,PE,01/06/2022,5.961
CAMPO LIMPO PAULISTA,SP,01/06/2022,16.990
JOAO MONLEVADE,MG,01/06/2022,3.159
CACOAL,RO,01/06/2022,1.946
BEBEDOURO,SP,01/06/2022,11.706
VILHENA,RO,01/06/2022,1.173
GRAVATA,PE,01/06/2022,3.456
PACATUBA,CE,01/06/2022,2.804
SERRINHA,BA,01/06/2022,5.109
CANINDE,CE,01/06/2022,5.630
LAJEADO,RS,01/06/2022,3.487
SAO BENTO DO SUL,SC,01/06/2022,944
ALFENAS,MG,01/06/2022,9.171
GOIANA,PE,01/06/2022,2.230
ALEGRETE,RS,01/06/2022,347
NOVA SERRANA,MG,01/06/2022,6.908
PONTA PORA,MS,01/06/2022,9.475
PATO BRANCO,PR,01/06/2022,2.740
VICOSA,MG,01/06/2022,11.105
CRUZEIRO DO SUL,AC,01/06/2022,886
SAO SEBASTIAO,SP,01/06/2022,7.342
TRES CORACOES,MG,01/06/2022,3.619
SAQUAREMA,RJ,01/06/2022,2.640
PICOS,PI,01/06/2022,1.412
LINS,SP,01/06/2022,14.859
JABOTICABAL,SP,01/06/2022,11.970
CURVELO,MG,01/06/2022,3.468
REDENCAO,PA,01/06/2022,347
TELEMACO BORBA,PR,01/06/2022,10.044
UNAI,MG,01/06/2022,14.696
CACADOR,SC,01/06/2022,765
BELO JARDIM,PE,01/06/2022,1.712
SAO FELIX DO XINGU,PA,01/06/2022,488
CATAGUASES,MG,01/06/2022,9.267
PIRASSUNUNGA,SP,01/06/2022,3.834
CRATEUS,CE,01/06/2022,6.201
CALDAS NOVAS,GO,01/06/2022,13.426
AQUIRAZ,CE,01/06/2022,5.084
RIO LARGO,AL,01/06/2022,1.701
IBIUNA,SP,01/06/2022,1.417
VALENCA,RJ,01/06/2022,778
PALMEIRA DOS INDIOS,AL,01/06/2022,1.582
ARCOVERDE,PE,01/06/2022,613
QUIXERAMOBIM,CE,01/06/2022,1.243
CIANORTE,PR,01/06/2022,16.546
OURO PRETO,MG,01/06/2022,24.490
VIANA,ES,01/06/2022,1.852
CAJAMAR,SP,01/06/2022,14.256
CHAPADINHA,MA,01/06/2022,383
ARACATI,CE,01/06/2022,2.379
TIANGUA,CE,01/06/2022,1.196
RUSSAS,CE,01/06/2022,8.311
CONCORDIA,SC,01/06/2022,2.111
DIAS DAVILA,BA,01/06/2022,5.008
CASTRO,PR,01/06/2022,719
CAMBORIU,SC,01/06/2022,12.290
SANTA ROSA,RS,01/06/2022,3.251
ITAPIRA,SP,01/06/2022,11.494
MOCOCA,SP,01/06/2022,1.964
CEARA MIRIM,RN,01/06/2022,438
MACAIBA,RN,01/06/2022,741
VINHEDO,SP,01/06/2022,30.445
FERNANDOPOLIS,SP,01/06/2022,2.595
SAO SEBASTIAO DO PARAISO,MG,01/06/2022,1.004
AMPARO,SP,01/06/2022,7.718
FORMIGA,MG,01/06/2022,6.072
CASCAVEL,CE,01/06/2022,729
EMBU GUACU,SP,01/06/2022,6.864
SOUSA,PB,01/06/2022,6.378
NAVEGANTES,SC,01/06/2022,10.297
VENANCIO AIRES,RS,01/06/2022,359
FARROUPILHA,RS,01/06/2022,13.248
TUPA,SP,01/06/2022,2.479
SORRISO,MT,01/06/2022,3.113
ESTANCIA,SE,01/06/2022,5.746
ICO,CE,01/06/2022,1.353
CAICO,RN,01/06/2022,2.125
CRUZ ALTA,RS,01/06/2022,3.266
CAMAQUA,RS,01/06/2022,2.046
LENCOIS PAULISTA,SP,01/06/2022,1.159
CAPANEMA,PA,01/06/2022,812
SANTO ANTONIO DO DESCOBERTO,GO,01/06/2022,704
OURICURI,PE,01/06/2022,272
ESCADA,PE,01/06/2022,1.839
ITAMARAJU,BA,01/06/2022,2.638
BRUMADO,BA,01/06/2022,281
PACAJUS,CE,01/06/2022,1.689
PESQUEIRA,PE,01/06/2022,824
VACARIA,RS,01/06/2022,492
CONCEICAO DO COITE,BA,01/06/2022,12.692
SAO BORJA,RS,01/06/2022,868
RIO DO SUL,SC,01/06/2022,2.846
CRUZ DAS ALMAS,BA,01/06/2022,1.202
ARARANGUA,SC,01/06/2022,7.886
JANUARIA,MG,01/06/2022,3.540
CARAZINHO,RS,01/06/2022,1.110
ITABERABA,BA,01/06/2022,897
COSMOPOLIS,SP,01/06/2022,10.206
PENAPOLIS,SP,01/06/2022,4.491
GOIANESIA,GO,01/06/2022,623
MORADA NOVA,CE,01/06/2022,545
CAMPO BOM,RS,01/06/2022,9.545
PENEDO,AL,01/06/2022,6.146
CAMOCIM,CE,01/06/2022,433
BOM JESUS DA LAPA,BA,01/06/2022,63
PEDRO LEOPOLDO,MG,01/06/2022,3.691
ROLANDIA,PR,01/06/2022,10.170
BIGUACU,SC,01/06/2022,5.782
UNIAO DOS PALMARES,AL,01/06/2022,218
BEZERROS,PE,01/06/2022,1.809
LUIS EDUARDO MAGALHAES,BA,01/06/2022,14.062
PERUIBE,SP,01/06/2022,3.473
MONTENEGRO,RS,01/06/2022,3.260
PALMARES,PE,01/06/2022,1.602
SURUBIM,PE,01/06/2022,203
CIDADE OCIDENTAL,GO,01/06/2022,1.302
GASPAR,SC,01/06/2022,2.089
ICARA,SC,01/06/2022,1.005
BATATAIS,SP,01/06/2022,804
GRAJAU,MA,01/06/2022,275
PONTE NOVA,MG,01/06/2022,3.323
SANTO AMARO,BA,01/06/2022,242
HORIZONTE,CE,01/06/2022,2.695
ACARAU,CE,01/06/2022,157
MORENO,PE,01/06/2022,638
UNIAO DA VITORIA,PR,01/06/2022,2.210
SANTA IZABEL DO PARA,PA,01/06/2022,270
LIMOEIRO DO NORTE,CE,01/06/2022,1.512
ANDRADINA,SP,01/06/2022,8.560
BARRA DO GARCAS,MT,01/06/2022,3.951
GUARABIRA,PB,01/06/2022,1.910
MIRASSOL,SP,01/06/2022,4.769
INDAIAL,SC,01/06/2022,8.932
SALGUEIRO,PE,01/06/2022,1.223
TRES PONTAS,MG,01/06/2022,194
SAO MIGUEL DOS CAMPOS,AL,01/06/2022,819
IRATI,PR,01/06/2022,1.644
RIO BONITO,RJ,01/06/2022,2.670
BARBALHA,CE,01/06/2022,4.640
IBITINGA,SP,01/06/2022,5.165
LAGOA SANTA,MG,01/06/2022,4.448
TAQUARA,RS,01/06/2022,2.209
PIRAPORA,MG,01/06/2022,1.763
TAUA,CE,01/06/2022,338
LIMOEIRO,PE,01/06/2022,1.258
CABEDELO,PB,01/06/2022,15.345
REGISTRO,SP,01/06/2022,561
TIMBAUBA,PE,01/06/2022,790
TAQUARITINGA,SP,01/06/2022,1.120
CACHOEIRAS DE MACACU,RJ,01/06/2022,153
CANOINHAS,SC,01/06/2022,707
MARIANA,MG,01/06/2022,8.089
PORTO FERREIRA,SP,01/06/2022,4.974
FRUTAL,MG,01/06/2022,775
GUAPIMIRIM,RJ,01/06/2022,1.798
SAO BENTO DO UNA,PE,01/06/2022,332
CAMPO BELO,MG,01/06/2022,14.066
SAO PAULO,SP,01/07/2022,1.785.088
RIO DE JANEIRO,RJ,01/07/2022,1.602.612
SALVADOR,BA,01/07/2022,358.876
BRASILIA,DF,01/07/2022,1.306.323
FORTALEZA,CE,01/07/2022,264.001
BELO HORIZONTE,MG,01/07/2022,715.724
MANAUS,AM,01/07/2022,323.425
CURITIBA,PR,01/07/2022,1.158.322
RECIFE,PE,01/07/2022,172.930
BELEM,PA,01/07/2022,196.119
PORTO ALEGRE,RS,01/07/2022,558.767
GOIANIA,GO,01/07/2022,663.563
GUARULHOS,SP,01/07/2022,125.509
CAMPINAS,SP,01/07/2022,376.250
SAO LUIS,MA,01/07/2022,163.443
SAO GONCALO,RJ,01/07/2022,180.056
MACEIO,AL,01/07/2022,106.503
DUQUE DE CAXIAS,RJ,01/07/2022,73.786
NATAL,RN,01/07/2022,262.700
TERESINA,PI,01/07/2022,243.370
NOVA IGUACU,RJ,01/07/2022,38.172
CAMPO GRANDE,MS,01/07/2022,199.428
JOAO PESSOA,PB,01/07/2022,325.074
SAO BERNARDO DO CAMPO,SP,01/07/2022,361.718
OSASCO,SP,01/07/2022,93.521
SANTO ANDRE,SP,01/07/2022,209.929
JABOATAO DOS GUARARAPES,PE,01/07/2022,70.364
SAO JOSE DOS CAMPOS,SP,01/07/2022,339.151
CONTAGEM,MG,01/07/2022,53.932
RIBEIRAO PRETO,SP,01/07/2022,229.371
UBERLANDIA,MG,01/07/2022,298.396
SOROCABA,SP,01/07/2022,372.642
ARACAJU,SE,01/07/2022,71.541
CUIABA,MT,01/07/2022,131.429
FEIRA DE SANTANA,BA,01/07/2022,79.012
JUIZ DE FORA,MG,01/07/2022,246.971
JOINVILLE,SC,01/07/2022,55.843
LONDRINA,PR,01/07/2022,214.713
BELFORD ROXO,RJ,01/07/2022,34.646
ANANINDEUA,PA,01/07/2022,77.218
SAO JOAO DE MERITI,RJ,01/07/2022,17.830
APARECIDA DE GOIANIA,GO,01/07/2022,48.516
NITEROI,RJ,01/07/2022,314.772
CAMPOS DOS GOYTACAZES,RJ,01/07/2022,149.535
CAXIAS DO SUL,RS,01/07/2022,33.416
MAUA,SP,01/07/2022,68.580
FLORIANOPOLIS,SC,01/07/2022,367.537
VILA VELHA,ES,01/07/2022,243.280
SANTOS,SP,01/07/2022,63.639
SAO JOSE DO RIO PRETO,SP,01/07/2022,113.282
PORTO VELHO,RO,01/07/2022,99.472
SERRA,ES,01/07/2022,135.345
DIADEMA,SP,01/07/2022,31.737
OLINDA,PE,01/07/2022,35.034
MACAPA,AP,01/07/2022,41.372
BETIM,MG,01/07/2022,123.386
CAMPINA GRANDE,PB,01/07/2022,46.710
MOGI DAS CRUZES,SP,01/07/2022,88.995
CARAPICUIBA,SP,01/07/2022,114.805
PIRACICABA,SP,01/07/2022,209.098
MONTES CLAROS,MG,01/07/2022,32.910
JUNDIAI,SP,01/07/2022,137.749
MARINGA,PR,01/07/2022,264.316
CARIACICA,ES,01/07/2022,61.698
BAURU,SP,01/07/2022,43.229
ANAPOLIS,GO,01/07/2022,58.545
RIO BRANCO,AC,01/07/2022,73.916
CANOAS,RS,01/07/2022,148.050
SAO VICENTE,SP,01/07/2022,17.273
VITORIA,ES,01/07/2022,143.982
PELOTAS,RS,01/07/2022,78.821
FRANCA,SP,01/07/2022,135.517
ITAQUAQUECETUBA,SP,01/07/2022,12.930
BLUMENAU,SC,01/07/2022,74.208
PONTA GROSSA,PR,01/07/2022,81.572
CARUARU,PE,01/07/2022,103.213
CAUCAIA,CE,01/07/2022,7.278
RIBEIRAO DAS NEVES,MG,01/07/2022,21.538
VITORIA DA CONQUISTA,BA,01/07/2022,62.597
PAULISTA,PE,01/07/2022,53.418
PETROPOLIS,RJ,01/07/2022,20.144
